,Test Name,c50x,c503,e60x,c70x,e80x
0,FT4,0,0,1,0,1
1,ALBTQ,1,1,0,1,0
2,PSA-F,0,0,1,0,1
3,BIL-D,1,1,0,1,0
4,MYQL pack 2,0,1,0,0,0
5,AAGP,1,1,0,1,0
6,CA,1,1,0,1,0
7,NSE,0,0,0,0,1
8,CEA,0,0,0,0,1
9,A-HCV100,0,0,1,0,0
10,SVT_SG,1,1,0,0,0
11,AFP L3 ,0,0,0,0,1
12,DIGO,0,0,1,0,1
13,PIVKA,0,0,0,0,1
14,FREE B HCG,0,0,0,0,1
15,LIP,1,1,0,1,0
16,DEVCH10,1,1,0,0,0
17,RUBIGM,0,0,1,0,1
18,IGM,1,1,0,1,0
19,TNI,0,0,1,0,1
20,DEVCH21,1,1,0,0,0
21,DEVCH1,1,1,0,0,0
22,CEA200,0,0,1,0,0
23,UA,1,1,0,1,0
24,T3,0,0,1,0,1
25,B2MG,1,1,0,1,0
26,PPX,1,1,0,0,0
27,DEVCH6,1,1,0,0,0
28,TRIGB,1,1,0,1,0
29,SFLT-1,0,0,0,0,1
30,HCG-B,0,0,1,0,1
31,C-PEP,0,0,1,0,1
32,DEVCH22,1,1,0,0,0
33,TNI-STAT,0,0,1,0,0
34,BUN,1,1,0,1,0
35,HBEAG,0,0,1,0,1
36,CL,0,0,0,0,0
37,FERR200,0,0,1,0,0
38,A-HBS,0,0,1,0,1
39,DEVCH16,1,1,0,0,0
40,P-BNP-STAT,0,0,1,0,1
41,MG,1,1,0,1,0
42,AMY-P,1,1,0,1,0
43,D-DI,1,1,0,0,0
44,ALT,1,0,0,1,0
45,IGE,0,0,1,0,1
46,TNT,0,0,1,0,1
47,PlGF,0,0,0,0,1
48,C3C,1,1,0,1,0
49,TRIG,1,1,0,1,0
50,SHBG,0,0,1,0,1
51,OPIA,1,1,0,0,0
52,K,1,0,0,0,0
53,FRUC,1,1,0,1,0
54,AMIK,1,1,0,0,0
55,FERR,1,1,0,1,1
56,ETOH,1,1,0,1,0
57,GLU,1,1,0,1,0
58,STFR,1,1,0,1,0
59,TNT-STAT,0,0,1,0,1
60,A-TSHR,0,0,1,0,1
61,HSV-2,0,0,1,0,0
62,HBSAG,0,0,0,0,1
63,CKMB,1,1,1,0,1
64,HSV2,0,0,0,0,1
65,A-COV,0,0,1,0,1
66,FERR100,0,0,1,0,0
67,SI,1,1,0,1,0
68,ALB-P,1,1,0,1,0
69,CMVIGGAVID,0,0,0,0,1
70,PROG,0,0,1,0,1
71,FOL-RBC,0,0,1,0,1
72,CO2-L,1,0,0,1,0
73,TPUC,1,1,0,1,0
74,PCP pack 2,0,1,0,0,0
75,6AM,1,0,0,0,0
76,INSUL,0,0,1,0,1
77,IGFBP3,0,0,1,0,0
78,LSD,1,1,0,0,0
79,BIL-T,1,1,0,1,0
80,P1NP,0,0,0,0,1
81,C4,1,1,0,1,0
82,IGFPB3,0,0,0,0,1
83,BENZ pack 2,0,1,0,0,0
84,A-CCP,0,0,1,0,1
85,HCYS,1,1,0,1,0
86,TP,1,1,0,1,0
87,B12,0,0,1,0,1
88,PTH 1-84,0,0,0,0,1
89,HBA1C-Pack 2,0,1,0,0,0
90,SALI,1,1,0,0,0
91,VITD,0,0,1,0,1
92,AFP200,0,0,1,0,0
93,CRPHS,1,1,0,1,0
94,DEVCH2,1,1,0,0,0
95,CALC,0,0,0,0,1
96,PCT,0,0,1,0,1
97,DEVCH18,1,1,0,0,0
98,AFP100,0,0,1,0,0
99,BENZ,1,1,0,0,0
100,TSH,0,0,1,0,1
101,CA19-9,0,0,1,0,1
102,HSV1,0,0,0,0,1
103,B-CLAPS,0,0,1,0,1
104,AFP,0,0,0,0,1
105,APOB,1,1,0,1,0
106,PHNO100,1,0,0,0,0
107,VANCO100,1,1,0,0,0
108,HCYS pack 2,0,1,0,0,0
109,GGT,1,1,0,1,0
110,HYD,1,0,0,0,0
111,PTH,0,0,1,0,1
112,KAPPA,0,1,0,0,0
113,IGA-C,0,1,0,0,0
114,CA15-3,0,0,1,0,1
115,TG,0,0,0,0,1
116,HSV-1,0,0,1,0,0
117,HBs Ag confirm,0,0,0,0,1
118,IGG,1,1,0,1,0
119,BARB,1,1,0,0,0
120,PHNY100,1,0,0,0,0
121,SCC,0,0,0,0,1
122,IGM-C,0,1,0,0,0
123,FT3,0,0,1,0,1
124,IGF-1,0,0,0,0,1
125,CERU,1,1,0,1,0
126,AMPH,1,1,0,0,0
127,CREJ,1,1,0,1,0
128,AST,1,0,0,1,0
129,PAPP-A,0,0,0,0,1
130,ASTP,1,0,0,1,0
131,CYFRA,0,0,1,0,1
132,GENT,1,1,0,0,0
133,HE4,0,0,1,0,1
134,EDDP,1,1,0,0,0
135,HBA1C-L,0,1,0,0,0
136,HBSAGQUANT,0,0,0,0,1
137,VALP-S,0,1,0,0,0
138,A-HBE,0,0,0,0,1
139,SVT_CREA,1,1,0,0,0
140,VALP-L,0,1,0,0,0
141,DEVCH14,1,1,0,0,0
142,IGA,1,1,0,1,0
143,HDL,1,1,0,1,0
144,NA,0,0,0,0,0
145,DEVCH12,1,1,0,0,0
146,SVT_NITR,1,1,0,0,0
147,AAT,1,1,0,1,0
148,EVERO,0,0,0,0,1
149,TMPA,1,0,0,0,0
150,THC,1,1,0,0,0
151,NAPA,1,1,0,0,0
152,DIGIT,0,0,0,0,1
153,DEVCH13,1,1,0,0,0
154,CARB,1,1,0,0,0
155,SVT_PH,1,1,0,0,0
156,CK,1,1,0,1,0
157,MPA,0,1,0,0,0
158,CMVIGM,0,0,1,0,1
159,TUP,0,0,1,0,1
160,CHOL,1,1,0,1,0
161,TOBRA,1,1,0,0,0
162,SVT_OXID,1,1,0,0,0
163,A-HBCIGM,0,0,1,0,1
164,PSA-T200,0,0,1,0,0
165,DEVCH7,1,1,0,0,0
166,VANCO200,1,1,0,0,0
167,PHOS,1,1,0,1,0
168,PSA-T100,0,0,1,0,0
169,DEVCH17,1,1,0,0,0
170,TNT-STAT200,0,0,1,0,0
171,AST-P5P,0,1,0,0,0
172,UIBC,1,1,0,1,0
173,FSH,0,0,1,0,1
174,THEO,1,1,0,0,0
175,BUP,1,0,0,0,0
176,ALB,1,1,0,1,0
177,PSA-T,0,0,0,0,1
178,DEVCH15,1,1,0,0,0
179,T4,0,0,1,0,1
180,DEVCH4,1,1,0,0,0
181,CO2,1,1,0,0,0
182,ACTH,0,0,1,0,1
183,HGH,0,0,1,0,1
184,APOA,1,1,0,1,0
185,ALT-P5P,0,1,0,0,0
186,A-HAVIGM,0,0,1,0,1
187,CHE2,0,1,0,0,0
188,PCP,1,1,0,0,0
189,LDH,1,1,0,1,0
190,DEVCH20,1,1,0,0,0
191,P-BNP,0,0,1,0,1
192,HBDH2,0,1,0,0,0
193,PTH-STAT,0,0,1,0,1
194,MTQL,1,1,0,0,0
195,OXYC,1,1,0,0,0
196,PHNY200,1,1,0,0,0
197,SIRO,0,0,0,0,1
198,DEVCH3,1,1,0,0,0
199,CREP,1,1,0,1,0
200,CORT,0,0,1,0,1
201,GDF15,0,0,0,0,1
202,ALP,1,1,0,1,0
203,FOL,0,0,1,0,1
204,METH,1,1,0,0,0
205,TOXOIGM,0,0,1,0,1
206,QUIN,1,1,0,0,0
207,DEVCH8,1,1,0,0,0
208,LACT,1,1,0,1,0
209,CMV,0,0,1,0,0
210,DIG,1,1,0,0,0
211,PROC,1,1,0,0,0
212,HTLV 1/2,0,0,0,0,1
213,PROGRP,0,0,0,0,1
214,DEVCH5,1,1,0,0,0
215,LPA,1,1,0,1,0
216,A-HBC,0,0,1,0,1
217,DHEA-S,0,0,1,0,1
218,LI,1,1,0,0,0
219,CKMB-STAT,0,0,1,0,0
220,CEA100,0,0,1,0,0
221,RF,1,1,0,1,0
222,HCT,0,0,1,0,0
223,AMH,0,0,1,0,1
224,OSTEO,0,0,1,0,1
225,IL6,0,0,0,0,1
226,NH3,1,1,0,1,0
227,ACETA,1,1,0,0,0
228,SVT_CHROM,1,1,0,0,0
229,ASLO,1,1,0,1,0
230,PREALB,1,1,0,1,0
231,E2,0,0,1,0,1
232,TOXOIGG,0,0,1,0,1
233,MYO-STAT,0,0,1,0,1
234,DEVCH11,1,1,0,0,0
235,CYCLO,0,0,0,0,1
236,P53,0,0,0,0,1
237,S100,0,0,0,0,1
238,A-TG,0,0,1,0,1
239,TESTO,0,0,1,0,1
240,AMY,1,1,0,1,0
241,CA72-4,0,0,0,0,1
242,A-HCV200,0,0,1,0,0
243,HBSAG100,0,0,1,0,0
244,HAPT,1,1,0,1,0
245,CMVIGG,0,0,0,0,1
246,LDL,1,1,0,1,0
247,ALTP,1,0,0,1,0
248,PPX pack 2,0,1,0,0,0
249,A-HAV,0,0,1,0,1
250,PHNO200,1,1,0,0,0
251,TACRO,0,0,0,0,1
252,RUBIGG,0,0,1,0,1
253,VALP200,1,0,0,0,0
254,VALP100,1,0,0,0,0
255,LH,0,0,1,0,1
256,HIV,0,0,1,0,1
257,MYO,1,1,1,1,1
258,COC,1,1,0,0,0
259,CHE,1,1,0,0,0
260,LAMBDA,0,1,0,0,0
261,HBA1C,1,0,0,0,0
262,CA125,0,0,1,0,1
263,HBSAG200,0,0,1,0,0
264,HCG-STAT,0,0,1,0,1
265,TRANSF,1,1,0,1,0
266,TOXOIGGAVID,0,0,0,0,1
267,IRON,1,1,0,1,0
268,DEVCH9,1,1,0,0,0
269,CHAGAS,0,0,0,0,1
270,BARB pack 2,0,1,0,0,0
271,A-TPO,0,0,1,0,1
272,CRP,1,1,0,1,0
273,SYPH,0,0,1,0,1
274,PROL,0,0,1,0,1
275,A-HCV,0,0,0,0,1
276,DEVCH19,1,1,0,0,0
277,CYSC,1,1,0,1,0
